Lines of Code,Number Of Members,TCC,WMC,ATFD,Large Class
40,8,0,1,6,False
63,15,0.02,1,6,False
23,4,0,2,6,False
25,5,0,1,6,False
67,11,0,3,6,False
66,15,0,1,6,False
116,23,0,3,6,False
57,12,0.03,2,5,False
47,11,0,3,5,False
67,14,0,2,5,False
13,3,0,1,5,False
32,6,0,1,5,False
62,14,0,1,5,False
31,8,0,2,5,False
55,11,0,2,5,False
272,31,0.09,8,5,True
82,17,0,4,5,False
57,10,0,1,5,False
64,11,0,1,5,False
116,25,0.02,1,5,False
87,18,0,1,5,False
57,10,0,1,5,False
107,16,0.04,3,5,False
31,4,0,1,5,False
55,10,0,1,5,False
21,4,0,1,4,False
67,13,0,1,4,False
33,5,0,5,4,False
53,4,0,2,4,False
25,2,0,2,4,False
26,3,0,6,4,False
37,8,0,1,4,False
63,14,0,1,4,False
23,3,0,5,4,False
78,16,0,1,4,False
30,6,0,1,4,False
42,9,0,1,4,False
47,6,0,1,4,False
32,8,0,1,4,False
30,6,0,1,4,False
24,1,0,3,4,False
105,16,0,3,4,False
28,6,0,2,3,False
15,3,0,1,3,False
58,15,0,1,3,False
66,13,0,1,3,False
57,8,0,6,3,False
24,4,0,2,3,False
116,15,0,1,3,False
21,5,0,3,3,False
34,3,0,1,3,False
44,10,0,3,3,False
32,4,0,3,3,False
79,14,0,1,3,False
77,13,0,1,3,False
29,5,0,2,3,False
22,5,0,1,3,False
21,5,0,2,3,False
157,29,0,1,3,False
25,4,0,2,3,False
56,5,0,16,3,False
21,4,0,1,2,False
6,1,0,1,2,False
62,17,0,1,2,False
30,6,0,1,2,False
138,23,0,1,2,False
50,15,0,1,2,False
19,3,0,3,2,False
6,1,0,1,2,False
59,14,0,1,2,False
6,1,0,1,2,False
17,3,0,1,2,False
15,3,0,1,2,False
41,8,0,1,2,False
26,6,0,1,2,False
36,7,0,6,2,False
26,1,0,5,2,False
28,5,0,1,2,False
68,15,0.02,1,2,False
64,12,0.16,1,2,False
64,15,0.02,1,2,False
52,10,0,1,2,False
19,4,0,1,2,False
25,6,0,2,2,False
18,5,0,1,2,False
76,15,0.04,1,2,False
10,2,0,1,2,False
10,2,0,1,2,False
32,7,0,1,2,False
56,14,0,1,2,False
59,7,0,1,2,False
19,3,0,1,2,False
29,7,0,1,2,False
33,9,0,1,2,False
78,16,0,1,1,False
25,4,0,1,1,False
11,2,0,1,1,False
56,6,0,11,1,False
218,42,0,1,1,False
39,9,0,1,1,False
128,25,0.01,5,1,False
25,4,0,6,1,False
114,23,0.01,5,1,False
24,5,0,2,1,False
9,2,0,1,1,False
40,7,0,2,1,False
49,5,0,3,1,False
11,2,0,1,1,False
22,4,0,1,1,False
63,4,0,1,1,False
10,2,0,1,1,False
69,15,0,1,1,False
17,4,0,1,1,False
32,6,0,1,1,False
29,8,0,1,1,False
30,6,0,2,1,False
28,6,0,2,1,False
7,1,0,1,1,False
11,2,0,1,1,False
25,7,0,1,1,False
13,3,0,1,1,False
80,5,0,5,1,False
59,5,0,8,1,False
61,15,0,1,1,False
14,3,0,3,1,False
38,10,0,1,1,False
74,12,0,1,1,False
26,5,0,1,1,False
26,5,0,1,1,False
14,3,0,1,0,False
419,10,0,0,0,True
357,49,0,3,0,True
295,11,0,1,0,False
3,0,0,0,0,False
7,2,0,1,0,False
6,1,0,1,0,False
43,1,0,3,0,False
124,8,0,1,0,False
28,8,0,1,0,False
65,17,0,1,0,False
5,1,0,0,0,False
13,4,0,0,0,False
23,7,0,0,0,False
5,1,0,0,0,False
6,1,0,0,0,False
5,1,0,0,0,False
62,9,0,1,0,False
10,1,0,1,0,False
8,2,0,0,0,False
14,3,0,1,0,False
12,3,0,1,0,False
453,26,0,3,0,True
20,5,0,1,0,False
83,13,0,1,0,False
11,3,0,1,0,False
655,2,0,0,0,True
236,9,0,0,0,False
141,8,0,0,0,False
16,3,0,1,0,False
38,7,0,1,0,False
255,18,0,0,0,False
53,5,0,1,0,False
13,2,0,2,0,False
12,2,0,1,0,False
5,1,0,1,0,False
386,21,0,4,0,True
15,4,0,1,0,False
115,1,0,0,0,False
11,3,0,1,0,False
9,3,0,0,0,False
51,6,0,1,0,False
205,5,0,0,0,True
187,7,0,1,0,False
54,15,0,1,0,False
25,7,0,1,0,False
120,13,0,2,0,False
121,13,0,4,0,False
22,7,0,1,0,False
109,9,0,2,0,False
121,1,0,18,0,False
24,6,0,1,0,False
24,6,0,1,0,False
41,10,0,1,0,False
213,1,0,0,0,True
37,1,0,7,0,False
29,7,0,1,0,False
31,7,0,1,0,False
891,6,0,1,0,True
211,25,0,2,0,False
135,14,0,1,0,False
24,7,0,0,0,False
245,1,0,0,0,True
358,49,0,1,0,True
9,2,0,0,0,False
80,10,0,2,0,False
17,4,0,0,0,False
323,32,0,4,0,True
39,6,0,1,0,False
111,12,0,2,0,False
18,4,0,1,0,False
13,2,0,2,0,False
165,25,0,1,0,False
13,4,0,1,0,False
132,1,0,0,0,False
9,2,0,0,0,False
94,10,0,4,0,False
12,1,0,1,0,False
50,11,0,2,0,False
4,1,0,1,0,False
15,5,0,1,0,False
368,44,0,3,0,True
16,4,0,0,0,False
51,11,0,1,0,False
26,11,0,0,0,False
93,13,0,1,0,False
13,5,0,1,0,False
32,10,0,1,0,False
120,33,0,1,0,False
318,37,0,1,0,True
354,1,0,0,0,True
22,4,0,1,0,False
962,49,0,1,0,True
87,7,0,1,0,False
41,11,0,1,0,False
1146,29,0,1,0,True
391,59,0,1,0,True
457,45,0,1,0,True
211,10,0,1,0,False
29,6,0,1,0,False
508,51,0,1,0,True
98,12,0,2,0,False
469,1,0,0,0,True
541,36,0,2,0,True
5,1,0,0,0,False
204,22,0,1,0,False
15,4,0,1,0,False
96,1,0,0,0,False
1018,14,0,1,0,True
121,13,0,1,0,False
45,32,0,3,0,False
24,6,0,1,0,False
73,8,0,2,0,False
118,6,0,1,0,False
20,3,0,3,0,False
348,42,0,1,0,True
263,1,0,0,0,False
4,2,0,0,0,False
61,13,0,1,0,False
37,6,0,2,0,False
195,12,0,6,0,False
9,3,0,0,0,False
30,6,0,1,0,False
25,6,0,5,0,False
25,5,0,0,0,False
24,7,0,1,0,False
163,1,0,0,0,False
8,1,0,5,0,False
18,5,0,1,0,False
10,5,0,0,0,False
116,2,0,0,0,False
37,8,0,1,0,False
23,5,0,2,0,False
25,2,0,3,0,False
11,4,0,0,0,False
25,9,0,1,0,False
5,1,0,0,0,False
73,8,0,3,0,False
5,1,0,0,0,False
5,1,0,0,0,False
18,4,0,1,0,False
13,1,0,1,0,False
21,4,0,1,0,False
25,5,0,1,0,False
37,9,0,1,0,False
19,5,0,1,0,False
