Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
backPage,10,2,0,5,3,3,2,2.33,2,8,False,0,False,0
canFinish,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getCurrentPage,3,1,0,0,1,0,0,0,1,2,False,0,False,0
getDialog,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getUIFacade,3,1,0,0,0,0,0,0,1,1,False,0,False,0
isExistingNextPage,7,4,1,0,1,0,0,0,2,4,False,0,False,0
nextPage,14,2,0,4,8,4,2,2.8,2,14,False,0,False,0
onOkPressed,3,1,0,0,1,0,0,0,1,1,False,0,False,0
setNextPage,17,5,1,1,7,1,1,14,4,11,False,0,False,0
setOkAction,4,1,1,1,0,0,0,0,1,2,False,0,False,0
show,7,1,0,3,3,1,1,7,1,6,False,0,False,0
wrapePageComponent,8,1,2,0,4,1,0,14,1,5,False,0,False,0
getInstance,3,1,0,0,0,0,0,0,1,1,False,0,False,0
newInstance,4,1,2,0,1,0,0,0,1,2,False,0,False,0
setupAutoRepeat,35,3,2,0,0,0,0,0,4,2,False,0,False,0
adjustNestedTasks,38,8,1,0,0,0,0,0,2,8,False,0,True,0
createContainmentFacade,3,1,0,0,0,0,0,0,1,0,False,0,False,0
createContainmentFacade,1,1,0,0,0,0,0,0,0,0,False,0,False,0
isEnabled,3,1,0,0,0,0,0,0,1,0,False,0,False,0
run,3,1,1,0,0,0,0,0,2,1,False,0,False,0
run,3,1,1,0,0,0,0,0,1,1,False,0,False,0
run,7,2,1,0,0,0,0,0,2,2,False,0,False,0
getDiagnostic,3,1,0,0,0,0,0,0,1,1,False,0,False,0
isEnabled,3,1,0,0,0,0,0,0,1,2,False,0,False,0
run,2,1,0,0,0,0,0,0,1,0,False,0,False,0
setDiagnostic,3,1,1,0,0,0,0,0,1,2,False,0,False,0
setEnabled,3,1,1,0,0,0,0,0,1,2,False,0,False,0
getAdjustTaskBoundsAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getCriticalPathAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getFindPossibleDependeesAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getProjectBoundsAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getRecalculateTaskCompletionPercentageAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getRecalculateTaskScheduleAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getScheduler,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getShiftTaskTreeAlgorithm,3,1,0,0,0,0,0,0,1,1,False,0,False,0
recalculateSupertaskSchedule,30,9,2,0,13,6,3,0.17,2,12,False,0,True,0
recalculateSupertaskScheduleBottomUp,6,2,2,1,0,0,0,0,2,2,False,0,False,0
run,16,4,1,1,6,2,2,0.5,4,9,False,0,False,0
findRole,21,6,1,1,6,5,2,1,5,13,False,0,False,0
getResourceManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getTaskManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
loadAllocation,57,10,1,0,14,2,1,2.5,2,16,False,0,True,0
onStartElement,9,3,1,1,1,0,0,0,3,1,False,0,False,0
parsingFinished,14,4,0,2,10,4,3,1.25,3,11,False,0,False,0
parsingStarted,2,1,0,0,0,0,0,0,1,0,False,0,False,0
close,4,1,0,0,2,1,1,2,1,3,False,0,False,0
isReady,3,1,0,0,1,1,0,2,1,1,False,0,False,0
isVisible,3,2,0,1,0,0,0,2,1,3,False,0,False,0
setComponent,6,1,3,0,3,1,1,2,1,7,False,0,False,0
actionPerformed,4,1,1,1,0,0,0,0,1,3,False,0,False,0
actionStateChanged,17,3,0,1,11,6,3,0.43,3,6,False,0,False,0
getLocalizedDescription,7,3,0,2,0,0,0,1.5,2,4,False,0,False,0
getLocalizedName,7,3,0,2,0,0,0,1.5,2,4,False,0,False,0
propertyChange,5,2,1,1,2,1,0,3,2,2,False,0,False,0
withIcon,3,1,1,0,2,1,1,3,1,4,False,0,False,0
actionPerformed,16,5,1,1,10,5,4,0.6,5,11,False,0,False,0
deleteAssignments,6,2,1,0,5,3,2,1,2,4,False,0,False,0
run,4,1,0,0,0,0,0,0,1,1,False,0,False,0
getAssignment,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getCustomField,3,1,1,0,0,0,0,0,1,1,False,0,False,0
getRoleForAssigment,3,1,0,0,1,1,1,3,1,2,False,0,False,0
getStandardField,7,5,1,0,3,1,1,3,2,2,False,0,False,0
getTask,3,1,0,1,0,0,0,3,1,2,False,0,False,0
setCustomField,2,1,2,0,0,0,0,0,1,2,False,0,False,0
setRoleForAssigment,3,1,1,0,1,1,1,3,1,3,False,0,False,0
setStandardField,7,2,2,1,0,0,0,3,2,3,False,0,False,0
toString,3,1,0,1,1,1,1,1.5,1,3,False,0,False,0
save,12,3,2,1,5,1,1,0,3,8,False,0,False,0
saveAssignment,13,2,2,0,19,9,7,0,2,12,False,0,False,0
paint,3,1,0,0,1,0,0,0,1,0,False,0,False,0
render,5,1,0,0,3,2,1,1,1,3,False,0,False,0
getDependency,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getEnd,11,4,0,0,7,0,0,0,3,6,False,0,False,0
getEndVector,7,4,0,0,0,0,0,0,2,2,False,0,False,0
getImpl,3,1,0,0,0,0,0,0,1,0,False,0,False,0
getStart,11,4,0,0,7,0,0,0,3,6,False,0,False,0
getStartVector,7,4,0,0,0,0,0,0,2,2,False,0,False,0
actionPerformed,95,13,1,0,1,1,0,5,4,24,False,0,True,0
actionPerformed,3,1,1,0,2,2,2,2.5,1,3,False,0,False,0
actionPerformed,9,2,1,0,7,3,1,1.67,2,8,True,0,False,0
createPrototype,8,3,1,0,0,0,0,0,2,3,False,0,False,0
createValue,10,3,1,0,3,0,0,0,3,2,False,0,False,0
deleteValue,8,3,1,0,4,2,1,2.5,3,4,False,0,False,0
getStringValue,3,1,1,0,1,1,1,5,1,2,False,0,False,0
selectionChanged,8,2,1,0,8,6,3,0.83,3,7,False,0,False,0
updateValue,4,1,2,0,2,2,1,2.5,1,3,False,0,False,0
save,8,1,2,0,3,0,0,0,1,5,False,0,False,0
