Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
Failure,bin_0_151_125,,bin_0_05_0_1,bin_0_2_25,bin_0_10_875,False
FailureList,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
FieldComparator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FieldMustBeARule,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
FieldMustBeATestRule,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
FieldValidator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Filter,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FilterFactories,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
FilterFactoryParams,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FilterNotCreatedException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FilterRequest,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
FrameworkField,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FrameworkMember,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
FrameworkMethod,bin_151_125_302_25,,bin_0_05_0_1,bin_0_2_25,bin_0_10_875,False
IgnoredBuilder,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
IgnoredClassRunner,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
IncludeCategories,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
IncludesAny,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
InexactComparisonCriteria,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
InitializationError,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
InitializationError,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
InternalWatcher,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
InvokeMethod,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnit38ClassRunner,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
JUnit3Builder,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnit4,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnit4Builder,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnit4ClassRunner,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
JUnit4TestAdapter,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnit4TestAdapterCache,bin_0_151_125,,bin_0_0_05,bin_6_75_9,bin_0_10_875,False
JUnit4TestCaseFacade,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
