Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
assertEquals,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertEquals,4,1,3,2,0,0,0,0,1,3,False,0,False,0
assertEquals,3,1,3,1,0,0,0,0,1,3,False,0,False,0
assertEquals,3,1,3,1,0,0,0,0,1,3,False,0,False,0
assertEquals,4,1,3,1,0,0,0,0,1,3,False,0,False,0
assertEquals,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertFalse,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertFalse,3,1,1,1,0,0,0,0,1,1,False,0,False,0
assertNotEquals,6,2,3,2,0,0,0,0,2,3,False,0,False,0
assertNotEquals,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertNotEquals,5,2,3,1,1,0,0,0,2,3,False,0,False,0
assertNotEquals,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertNotEquals,6,2,4,2,1,0,0,0,2,4,False,0,False,0
assertNotEquals,3,1,3,1,0,0,0,0,1,3,False,0,False,0
assertNotEquals,3,1,3,1,0,0,0,0,1,3,False,0,False,0
assertNotEquals,6,2,4,2,1,0,0,0,2,4,False,0,False,0
assertNotNull,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertNotNull,3,1,1,1,0,0,0,0,1,1,False,0,False,0
assertNotSame,6,2,3,1,0,0,0,0,2,3,False,0,False,0
assertNotSame,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertNull,6,2,2,1,0,0,0,0,2,2,False,0,False,0
assertNull,3,1,1,1,0,0,0,0,1,1,False,0,False,0
assertSame,6,2,3,1,0,0,0,0,2,3,False,0,False,0
assertSame,3,1,2,1,0,0,0,0,1,2,False,0,False,0
assertThat,3,2,2,1,0,0,0,0,1,2,False,0,False,0
assertThat,4,2,3,1,0,0,0,0,1,3,False,0,False,0
assertTrue,5,2,2,1,0,0,0,0,2,2,False,0,False,0
assertTrue,3,1,1,1,0,0,0,0,1,1,False,0,False,0
doubleIsDifferent,10,5,3,0,2,0,0,0,2,3,False,0,False,0
equalsRegardingNull,7,3,2,0,1,0,0,0,2,2,False,0,False,0
fail,6,2,1,0,2,0,0,0,2,1,False,0,False,0
fail,3,1,0,1,0,0,0,0,1,0,False,0,False,0
failEquals,9,2,2,1,0,0,0,0,2,3,False,0,False,0
failNotEquals,4,1,3,2,0,0,0,0,1,3,False,0,False,0
failNotNull,7,2,2,1,0,0,0,0,2,3,False,0,False,0
failNotSame,9,2,3,1,0,0,0,0,2,4,False,0,False,0
failSame,7,2,1,1,0,0,0,0,2,2,False,0,False,0
floatIsDifferent,10,5,3,0,2,0,0,0,2,3,False,0,False,0
format,16,5,3,2,2,0,0,0,2,6,False,0,False,0
formatClassAndValue,4,3,2,0,0,0,0,0,1,3,False,0,False,0
internalArrayEquals,4,1,3,0,2,0,0,0,1,3,False,0,False,0
isEquals,3,1,2,0,1,0,0,0,1,2,False,0,False,0
defaultString,3,3,1,0,0,0,0,0,1,1,False,0,False,0
allUnassigned,9,1,2,0,5,1,1,4,1,4,False,0,False,0
assignNext,8,1,1,0,4,0,0,0,1,9,False,0,False,0
buildParameterSupplierFromClass,14,10,1,0,5,1,1,4,3,5,False,0,False,0
generateAssignmentsFromTypeAlone,11,8,1,0,9,3,1,1.33,3,8,False,0,False,0
getActualValues,8,2,2,0,2,1,1,4,2,6,False,0,False,0
getAllArguments,3,1,0,0,2,0,0,0,1,1,False,0,False,0
getArgumentStrings,8,2,1,0,2,1,1,4,2,6,False,0,False,0
getConstructorArguments,4,1,0,1,1,0,0,4,1,1,False,0,False,0
