Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertFalse,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertFalse,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertNotNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertNotNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertNotSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
assertNotSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
assertNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
assertSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertTrue,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
assertTrue,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
