Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
Statement,6,1,0,1,0,False
StoppedByUserException,3,1,0,0,0,False
Stopwatch,105,15,0,1,0,False
Suite,104,12,0,1,2,False
SuiteMethod,20,2,0,5,5,False
SuiteMethodBuilder,18,2,0,5,1,False
SynchronizedRunListener,81,13,0,1,0,False
TemporaryFolder,140,18,0.01,3,1,False
TestCase,471,52,0,1,6,False
TestClass,87,13,0.04,1,8,False
TestClass,283,30,0,7,0,False
TestComparator,24,2,0,3,4,False
TestDecorator,31,7,0,1,0,False
TestedOnSupplier,12,1,0,2,0,False
TestFailure,61,9,0,1,2,False
TestMethod,52,11,0,1,5,False
TestName,15,3,0,1,0,False
TestResult,169,24,0,2,0,False
TestRunner,177,22,0,1,2,False
TestSetup,31,5,0,1,0,False
TestSuite,276,29,0.05,3,16,False
TestTimedOutException,34,6,0,1,0,False
TestWatcher,121,13,0,1,0,False
TestWatchman,47,6,0,1,0,False
TestWithParameters,66,11,0,2,2,False
TextListener,90,13,0.13,1,8,False
Theories,235,10,0,1,0,False
TheoryAnchor,137,21,0.01,1,10,False
ThrowableCauseMatcher,37,6,0,2,2,False
ThrowableMessageMatcher,30,6,0,1,2,False
Throwables,34,3,0,1,0,False
Timeout,194,15,0,1,0,False
TypeSafeMatcher,48,7,0,3,7,False
ValidationError,5,1,0,0,0,False
Verifier,18,3,0,1,0,False
Version,13,3,0,1,0,False
